iter	Passed	Remaining
784	4241	1161
785	4245	1156
786	4250	1150
787	4255	1144
788	4260	1139
789	4264	1133
790	4269	1128
791	4274	1122
792	4278	1116
793	4284	1111
794	4288	1105
795	4293	1100
796	4298	1094
797	4303	1089
798	4307	1083
799	4312	1078
800	4317	1072
801	4321	1067
802	4326	1061
803	4331	1055
804	4336	1050
805	4340	1044
806	4345	1039
807	4350	1033
808	4355	1028
809	4359	1022
810	4364	1017
811	4368	1011
812	4373	1005
813	4377	1000
814	4383	994
815	4387	989
816	4392	983
817	4397	978
818	4401	972
819	4407	967
820	4412	961
821	4416	956
822	4420	950
823	4425	945
824	4429	939
825	4434	934
826	4439	928
827	4444	923
828	4448	917
829	4453	912
830	4458	906
831	4462	901
832	4467	895
833	4471	890
834	4476	884
835	4482	879
836	4486	873
837	4492	868
838	4496	862
839	4501	857
840	4506	851
841	4510	846
842	4515	840
843	4520	835
844	4524	830
845	4529	824
846	4533	819
847	4538	813
848	4543	808
849	4548	802
850	4553	797
851	4558	791
852	4562	786
853	4567	780
854	4572	775
855	4577	770
856	4582	764
857	4587	759
858	4591	753
859	4596	748
860	4600	742
861	4605	737
862	4610	731
863	4615	726
864	4619	721
865	4625	715
866	4629	710
867	4635	704
868	4640	699
869	4646	694
870	4651	688
871	4656	683
872	4661	678
873	4667	672
874	4672	667
875	4677	662
876	4683	656
877	4688	651
878	4693	646
879	4699	640
880	4704	635
881	4709	630
882	4714	624
883	4719	619
884	4724	613
885	4729	608
886	4734	603
887	4739	597
888	4744	592
889	4748	586
890	4753	581
891	4758	576
892	4763	570
893	4769	565
894	4774	560
895	4779	554
896	4783	549
897	4789	543
898	4793	538
899	4798	533
900	4803	527
901	4807	522
902	4812	516
903	4817	511
904	4822	506
905	4826	500
906	4831	495
907	4835	489
908	4840	484
909	4845	479
910	4849	473
911	4854	468
912	4859	463
913	4864	457
914	4868	452
915	4873	446
916	4877	441
917	4882	436
918	4887	430
919	4891	425
920	4896	420
921	4901	414
922	4905	409
923	4910	403
924	4915	398
925	4919	393
926	4924	387
927	4929	382
928	4934	377
929	4938	371
930	4943	366
931	4948	361
932	4952	355
933	4957	350
934	4962	344
935	4966	339
936	4971	334
937	4976	328
938	4981	323
939	4986	318
940	4991	312
941	4996	307
942	5000	302
943	5005	296
944	5010	291
945	5015	286
946	5020	280
947	5025	275
948	5029	270
949	5034	264
950	5039	259
951	5043	254
952	5048	249
953	5053	243
954	5057	238
955	5062	233
956	5067	227
957	5071	222
958	5076	217
959	5081	211
960	5085	206
961	5090	201
962	5095	195
963	5100	190
964	5105	185
965	5110	179
966	5115	174
967	5120	169
968	5125	163
969	5129	158
970	5134	153
971	5139	148
972	5143	142
973	5148	137
974	5153	132
975	5157	126
976	5162	121
977	5166	116
978	5171	110
979	5175	105
980	5180	100
981	5185	95
982	5189	89
983	5194	84
984	5198	79
985	5203	73
986	5208	68
987	5212	63
988	5217	58
989	5222	52
990	5227	47
991	5232	42
992	5236	36
993	5242	31
994	5247	26
995	5251	21
996	5256	15
997	5261	10
998	5266	5
999	5270	0
